site;variable;value;Year;Month;Type;var
861;precip.rrday_20160524;0;2016;5;prec;prec05
946;precip.rrday_20160524;0;2016;5;prec;prec05
950;precip.rrday_20160524;0;2016;5;prec;prec05
1030;precip.rrday_20160524;0;2016;5;prec;prec05
1032;precip.rrday_20160524;0;2016;5;prec;prec05
1076;precip.rrday_20160524;0;2016;5;prec;prec05
1206;precip.rrday_20160524;0;2016;5;prec;prec05
1367;precip.rrday_20160524;0;2016;5;prec;prec05
2813;precip.rrday_20160524;0;2016;5;prec;prec05
3222;precip.rrday_20160524;0;2016;5;prec;prec05
3225;precip.rrday_20160524;0;2016;5;prec;prec05
3379;precip.rrday_20160524;0;2016;5;prec;prec05
4193;precip.rrday_20160524;0;2016;5;prec;prec05
8560;precip.rrday_20160524;0;2016;5;prec;prec05
9150;precip.rrday_20160524;0;2016;5;prec;prec05
9646;precip.rrday_20160524;0;2016;5;prec;prec05
187;precip.rrday_20160525;0.81051918866197;2016;5;prec;prec05
617;precip.rrday_20160525;0.860446539338928;2016;5;prec;prec05
657;precip.rrday_20160525;1.01903314913284;2016;5;prec;prec05
853;precip.rrday_20160525;0.949085631326771;2016;5;prec;prec05
861;precip.rrday_20160525;0.743725382533076;2016;5;prec;prec05
946;precip.rrday_20160525;0.774254014671463;2016;5;prec;prec05
