Patch;Square;Plant;PlantFinnish;Monocot;Dicot;Coverage;Herbivory %;Virotic
946;2;Galium verum;keltamatara;0;1;10;0;1
946;2;Anthoxanthum odoratum;eteläntuoksusimake;1;0;1;0;0
946;2;Angelica sylvestris;karhunputki;0;1;1;0;100
946;2;Vicia cracca;hiirenvirna;0;1;0,5;0;0
946;2;Anthriscus sylvestris;koiranputki;0;1;1,5;0;50
946;2;Achillea millefolium;siankärsämö;0;1;0,5;0;0
946;2;Veronica chamaedrys;nurmitädyke;0;1;1;0;0
946;2;Geranium sylvaticum;metsäkurjenpolvi;0;1;3;50;0
946;2;Rubus saxatilis;lillukka;0;1;0,5;0;0
946;2;Melampyrum sylvaticum;metsämaitikka;0;1;0,5;50;0
946;2;Plantago lanceolata;heinäratamo;0;1;1;100;0
946;2;Viola riviana;metsäorvokki;0;1;1,5;50;0
946;2;Luzula pilosa;kevätpiippo;1;0;1;0;0
946;2;Agrostis sp;rölli sp;1;0;1;0;0
946;2;Ranunculus bulbosus;mäkileinikki;0;1;0,5;0;0
946;2;Ranunculus acris;niittyleinikki;0;1;0,5;0;0
946;2;Hieracium sp;ukonkeltano sp;0;1;0,5;0;0
946;2;Phleum pratense;timotei;1;0;1;0;0
946;2;Deschampsia flexuosa;metsälauha;1;0;1;0;0
946;2;Hieracium tridentata;tankikeltano;0;1;0,5;100;0
946;2;bryophytes;sammalet;0;0;60;0;0
946;2;lichens;jäkälät;0;0;0;0;0
946;3;Achillea millefolium;siankärsämö;0;1;3;0;0
946;3;Trifolium repens;valkoapila;0;1;1;100;0
946;3;Taraxacum sp;voikukka sp;0;1;2;100;0
946;3;Plantago lanceolata;heinäratamo;0;1;1;100;0
946;3;Luzula pilosa;kevätpiippo;1;0;4;0;40
946;3;Maianthemum bifolium;oravanmarja;1;0;7;80;0
946;3;Equisetum arvense;peltokorte;0;0;1;0;0
946;3;Trientalis europaea;metsätähti;0;1;1,5;100;0
946;3;Veronica chamaedrys;nurmitädyke;0;1;1,5;0;0
946;3;Poa pratensis;niittynurmikka;1;0;0,5;0;0
946;3;Anthoxanthum odoratum;eteläntuoksusimake;1;0;1;0;0
946;3;Rubus idaeus;vadelma;0;1;4;30;0
946;3;Vicia cracca;hiirenvirna;0;1;0,5;0;0
946;3;Equisetum fluviatile;järvikorte;0;0;2;0;0
946;3;Pteridium aquilinium;sananjalka;0;0;1;0;0
946;3;Lathyrus pratensis;niittynätkelmä;0;1;0,5;0;0
946;3;Betula pubescens;hieskoivu;0;1;0,1;100;0
946;3;Epilobium sp;horsma sp;0;1;0,1;0;0
946;3;Juncus conglomeratus;keräpäävihvilä;1;0;10;0;0
946;3;Carex pallescens;kalvassara;1;0;1;0;0
946;3;Filipendula ulmaria;mesiangervo;0;1;0,5;0;0
946;3;Ranunculus acris;niittyleinikki;0;1;0,5;0;0
946;3;bryophytes ;sammalet;0;0;40;0;0
946;3;lichens;jäkälät;0;0;0;0;0
946;4;Plantago lanceolata;heinäratamo;0;1;9;100;30
946;4;Veronica chamaedrys;nurmitädyke;0;1;2;0;10
946;4;Rumex acetosella;niittysuolaheinä;0;1;1;100;0
946;4;Saxifraga granulata;papelorikko;0;1;0,5;0;0
946;4;Trifolium repens;valkoapila;0;1;1;100;0
946;4;Trifolium pratens;puna-apila;0;1;4;100;30
946;4;Vicia cracca;hiirenvirna;0;1;0,5;100;0
946;4;Achillea millefolium;siankärsämö;0;1;1;0;0
946;4;Anthriscus sylvestris;koiranputki;0;1;1;0;0
946;4;Alchemilla sp;poimulehti sp;0;1;0,5;100;100
946;4;Anthoxanthum odoratum;eteläntuoksusimake;1;0;1;0;0
946;4;Taraxacum sp;voikukka sp;0;1;1;0;0
946;4;Lathyrus pratensis;niittynätkelmä;0;1;2;50;0
946;4;Ranunculus acris;niittyleinikki;0;1;1;0;0
946;4;Veronica officinalis;rohtotädyke;0;1;2;0;0
946;4;Plantago major;piharatamo;0;1;1;0;0
946;4;Ranunculus bulbosus;mäkileinikki;0;1;0,5;0;0
946;4;Agrostis sp;rölli sp;1;0;1;0;0
946;4;Phleum pratense;timotei;1;0;1;0;0
946;4;Festuca rubra;punanata;1;0;0,5;0;0
946;4;Poa pratensis;niittynurmikka;1;0;0,1;0;0
946;4;bryophytes;sammalet;0;0;90;0;0
946;4;lichens;jäkälät;0;0;0;0;0
1367;1;Plantago lanceolata;heinäratamo;0;1;5;40;10
1367;1;Trifolium pratense;puna-apila;0;1;2;100;0
1367;1;Pinus sylvestris;metsämänty;0;0;0,5;0;0
1367;1;Fragaria vesca;ahomansikka;0;1;15;5;0
1367;1;Betula pendula;rauduskoivu;0;1;1;0;0
1367;1;Viola riviniana;metsäorvokki;0;1;0,5;0;0
1367;1;Trifolium repens;valkoapila;0;1;15;100;0
1367;1;Juniperus communis;kataja;0;0;0,5;0;0
1367;1;Pilosella officinarum;huopakeltano;0;1;0,5;0;0
1367;1;Dactylis glomerata;koiranheinä;1;0;1,5;0;0
1367;1;Poa pratensis;niittynurmikka;1;0;0,1;0;0
1367;1;Deschampsia flexuosa;metsälauha;1;0;3;0;0
1367;1;bryophytes;sammalet;0;0;50;0;0
1367;1;lichens;jäkälät;0;0;0;0;0
1367;2;Helianthemum nummularium;kultapäivännouto;0;1;15;1;0
1367;2;Plantago lanceolata;heinäratamo;0;1;20;20;10
1367;2;Vaccinium vitis-idae;puolukka;0;1;0,5;0;0
1367;2;Listera ovata;soikkokaksikko;1;0;0,5;0;0
1367;2;Trifolium pratense;puna-apila;0;1;4;100;0
1367;2;Fragaria vesca;ahomansikka;0;1;3;0;0
